acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,total_acc,total_gyro,roll_avg_acc_X,roll_avg_acc_Y,roll_avg_acc_Z,roll_avg_gyro_X,roll_avg_gyro_Y,roll_avg_gyro_Z,tlt_X,tlt_Y,Still_Time,fall
-9.61,-2.9,-4.65,1.52,-0.01,-2.99,11.06,3.35,-9.03,-4.19,-5.09,-0.23,0.17,0.54,-148.04,-115.81,5110.0,1.0
-11.22,0.12,-6.55,0.23,0.11,-1.48,12.99,1.5,-9.14,-3.94,-5.0,0.12,0.14,-0.16,178.91,-120.27,7314.0,1.0
-7.53,-2.32,-4.17,0.6,0.46,-1.68,8.91,1.85,-9.56,-3.12,-5.31,0.14,0.13,-0.43,-150.94,-118.95,214.0,0.0
-12.59,-0.45,-4.64,-0.62,-0.51,1.53,13.43,1.73,-9.15,-2.96,-5.08,0.23,0.2,-0.68,-174.49,-110.22,418.0,0.0
-9.33,-5.34,-4.39,-1.36,-0.52,2.54,11.61,2.93,-9.84,-2.46,-4.99,0.06,0.06,-0.24,-129.45,-115.2,622.0,0.0
-4.3,-5.17,-2.55,-0.7,-0.02,0.77,7.19,1.04,-9.74,-3.03,-4.87,-0.22,-0.06,0.32,-116.26,-120.7,826.0,0.0
-13.09,-0.35,-6.87,2.14,0.87,-2.8,14.79,3.63,-8.65,-3.46,-4.41,-0.32,-0.05,0.41,-177.09,-117.71,1030.0,0.0
-6.38,-2.49,-3.52,-0.59,-0.62,-0.51,7.7,1.0,-9.54,-2.84,-4.9,0.17,0.13,-0.23,-144.79,-118.92,1234.0,0.0
-16.49,-2.14,-5.99,0.39,0.58,-0.27,17.67,0.75,-8.91,-2.77,-4.63,0.02,-0.02,-0.29,-160.35,-109.96,1438.0,0.0
-9.04,-4.84,-3.84,-1.18,-0.15,2.23,10.95,2.53,-10.42,-2.64,-4.9,0.1,0.1,-0.28,-128.42,-112.99,1642.0,0.0
-5.66,-4.18,-2.63,-1.38,0.02,1.06,7.51,1.74,-10.15,-3.08,-4.69,-0.16,0.05,0.22,-122.17,-114.9,1846.0,0.0
-10.38,-4.07,-2.4,0.43,0.96,-4.02,11.4,4.16,-9.25,-3.3,-4.27,-0.41,0.05,0.39,-120.52,-103.01,2050.0,0.0
-7.76,-2.39,-4.59,-0.82,-1.31,-0.56,9.33,1.64,-9.47,-3.45,-3.9,-0.24,0.23,-0.5,-152.52,-120.62,2254.0,0.0
-10.01,-2.25,-5.14,-0.12,0.07,-0.41,11.47,0.44,-9.13,-3.24,-4.04,-0.35,-0.08,-0.51,-156.36,-117.19,2458.0,0.0
-7.82,-5.94,-3.22,-1.6,-0.72,1.36,10.33,2.23,-9.31,-3.04,-4.26,-0.31,-0.05,-0.49,-118.46,-112.36,2662.0,0.0
-6.23,-5.17,-3.0,-0.11,0.07,-0.26,8.63,0.29,-9.01,-3.62,-4.05,-0.57,-0.18,-0.12,-120.1,-115.66,2866.0,0.0
-8.95,-3.42,-4.18,0.12,0.37,-0.79,10.46,0.88,-8.45,-3.93,-3.84,-0.48,-0.13,-0.15,-140.72,-115.03,3070.0,0.0
-7.89,-4.3,-3.15,-0.98,-0.52,-0.12,9.52,1.11,-8.55,-3.83,-3.91,-0.36,-0.03,-0.27,-126.28,-111.79,3274.0,0.0
-7.94,-4.24,-3.37,-0.85,-0.39,-1.0,9.61,1.37,-8.42,-3.92,-3.76,-0.48,-0.13,-0.24,-128.52,-113.01,3478.0,0.0
-8.63,-3.22,-4.66,-0.93,-0.54,0.32,10.32,1.12,-8.33,-3.98,-3.68,-0.56,-0.18,-0.39,-145.4,-118.39,3682.0,0.0
-6.57,-3.28,-4.62,0.48,0.38,-0.1,8.68,0.62,-8.39,-3.83,-3.88,-0.63,-0.26,-0.25,-144.56,-125.09,3886.0,0.0
-9.08,-2.99,-4.61,-0.34,0.24,0.08,10.61,0.42,-8.02,-3.72,-4.02,-0.41,-0.13,-0.22,-147.05,-116.9,4090.0,0.0
-6.42,-6.76,-4.52,-1.55,-0.67,0.28,10.36,1.71,-8.23,-3.57,-4.14,-0.39,-0.06,-0.16,-123.75,-125.14,4294.0,0.0
-7.05,-3.71,-4.48,0.18,0.42,-1.07,9.14,1.16,-7.87,-4.21,-4.22,-0.63,-0.18,-0.07,-140.37,-122.47,4498.0,0.0
-14.48,-0.26,-3.94,-2.82,-1.93,-0.27,15.01,3.43,-7.71,-4.11,-4.27,-0.46,-0.06,-0.27,-176.25,-105.22,4702.0,0.0
-8.86,-2.7,-1.99,-1.47,-4.37,2.86,9.47,5.42,-9.06,-3.34,-4.2,-0.94,-0.43,-0.27,-126.43,-102.66,4906.0,0.0
-8.33,1.89,4.04,-0.52,-1.3,0.4,9.45,1.46,-9.02,-3.21,-3.76,-1.04,-1.22,0.36,25.05,-64.12,5110.0,1.0
-4.55,-7.01,-5.95,2.26,1.38,-0.32,10.26,2.66,-8.88,-2.19,-2.2,-0.94,-1.24,0.36,-130.33,-142.61,7314.0,1.0
-4.11,-12.08,-4.49,0.42,1.56,-0.36,13.53,1.65,-8.02,-3.16,-2.95,-0.3,-0.71,0.23,-110.39,-137.57,7518.0,0.0
1.4,-11.55,-0.98,1.95,2.86,0.9,11.68,3.58,-7.23,-4.94,-3.26,-0.15,-0.26,0.11,-94.86,125.12,7722.0,0.0
-0.09,-8.34,-0.04,1.45,1.23,-0.43,8.34,1.95,-5.51,-6.26,-2.8,0.27,0.36,0.27,-90.26,-113.39,7926.0,0.0
-1.82,-8.29,7.61,2.56,2.27,0.82,11.4,3.52,-4.42,-6.68,-2.25,0.5,0.54,0.13,-47.46,-13.45,8130.0,0.0
-5.45,-3.79,6.18,3.14,2.73,0.53,9.07,4.19,-3.9,-7.0,-0.28,0.91,0.88,0.27,-31.49,-41.39,8334.0,0.0
-0.87,-3.9,5.39,0.47,-1.44,0.72,6.71,1.68,-4.21,-6.36,1.01,1.36,1.25,0.32,-35.94,-9.19,8538.0,0.0
-6.59,0.4,5.78,-1.7,-2.34,-1.04,8.77,3.07,-3.54,-5.87,1.89,1.18,0.71,0.4,3.91,-48.77,8742.0,0.0
-4.35,-4.08,6.76,-3.99,-2.4,0.57,9.02,4.69,-4.15,-4.61,2.67,0.61,0.1,0.11,-31.12,-32.77,8946.0,0.0
-7.79,-12.05,0.45,-4.37,-4.37,3.7,14.36,7.2,-4.19,-4.51,3.48,-0.31,-0.4,0.2,-87.88,-86.73,9150.0,0.0
-8.91,-6.37,1.3,-0.74,-2.94,3.5,11.03,4.63,-4.91,-6.02,2.88,-1.12,-1.19,0.9,-78.5,-81.73,9354.0,0.0
-5.8,0.38,3.86,-0.4,-0.93,1.12,6.98,1.51,-5.71,-6.09,2.56,-1.05,-1.54,1.42,5.6,-56.35,9558.0,0.0
-4.66,1.73,8.56,-0.4,-1.63,1.0,9.9,1.96,-5.73,-4.79,2.82,-0.92,-1.42,1.36,11.42,-28.58,9762.0,0.0
-1.02,2.01,6.67,-0.53,0.24,0.16,7.04,0.6,-5.52,-3.49,3.97,-0.81,-1.46,1.29,16.77,-8.71,9966.0,0.0
-4.12,-0.74,5.69,-0.46,3.12,-0.98,7.06,3.31,-4.62,-2.39,4.51,-0.76,-1.12,1.06,-7.39,-35.9,10170.0,0.0
-16.68,-4.49,0.01,1.2,4.37,-2.32,17.28,5.09,-4.52,-2.06,4.74,-0.7,-0.27,0.65,-89.85,-89.96,10374.0,0.0
-6.22,-5.88,-5.9,4.35,3.7,-0.05,10.4,5.71,-6.95,-2.55,3.8,-0.32,0.66,0.06,-135.12,-133.5,10578.0,0.0
-5.87,-6.45,-3.3,-2.16,0.73,1.09,9.33,2.53,-6.8,-3.21,1.86,0.62,1.26,0.04,-117.1,-119.35,10782.0,0.0
-6.92,-4.9,-8.53,-2.43,-1.94,-0.17,12.03,3.11,-6.62,-3.86,0.83,0.06,1.16,0.25,-150.15,-140.94,10986.0,0.0
-7.56,-1.43,-5.43,-0.61,0.11,0.41,9.41,0.74,-6.68,-4.07,-1.05,-0.44,0.54,0.16,-165.24,-125.68,11190.0,0.0
-6.8,-0.16,-2.94,-1.74,-0.72,-0.13,7.41,1.89,-6.85,-3.54,-1.92,-0.47,0.45,0.21,-176.87,-113.36,11394.0,0.0
-10.81,-0.06,-4.03,-0.08,0.03,-0.21,11.53,0.23,-6.84,-2.86,-2.12,-0.73,0.22,0.14,-179.11,-110.45,11598.0,0.0
-7.94,-1.78,-4.66,0.3,-0.23,0.44,9.37,0.58,-7.64,-2.3,-2.51,-0.6,0.18,0.07,-159.05,-120.41,11802.0,0.0
-7.8,-1.93,-4.69,-0.65,-0.13,0.42,9.3,0.78,-7.7,-2.2,-2.94,-0.42,0.1,0.15,-157.59,-120.99,12006.0,0.0
-8.13,4.33,-4.57,0.46,0.26,0.07,10.28,0.53,-7.72,-2.15,-3.29,-0.46,0.05,0.2,136.54,-119.32,12210.0,0.0
-8.14,0.75,-3.49,0.66,0.85,0.08,8.89,1.08,-7.8,-0.85,-3.54,-0.28,0.09,0.18,167.88,-113.22,12414.0,0.0
